date,crop,price_per_quintal_inr,market,state,arrivals_tonnes
2023-01-01,Tomato,50.9,Mumbai APMC,Gujarat,2449.6
2023-01-01,Potato,22.95,Koyambedu,Maharashtra,2764.7
2023-01-01,Corn,28.12,Coimbatore APMC,Gujarat,744.3
2023-01-01,Wheat,35.44,Delhi Azadpur,Karnataka,894.4
2023-01-01,Rice,39.8,Chennai APMC,Maharashtra,927.3
2023-01-01,Soybean,56.8,Koyambedu,Rajasthan,3720.2
2023-01-01,Cotton,75.52,Madurai,Maharashtra,3373.4
2023-01-02,Tomato,51.36,Chennai APMC,Uttar Pradesh,809.8
2023-01-02,Potato,22.5,Mumbai APMC,Karnataka,1122.5
2023-01-02,Corn,28.02,Chennai APMC,Rajasthan,1120.0
2023-01-02,Wheat,32.51,Chennai APMC,Rajasthan,3223.0
2023-01-02,Rice,39.51,Koyambedu,Haryana,3467.2
2023-01-02,Soybean,57.57,Hyderabad,Tamil Nadu,3011.1
2023-01-02,Cotton,70.33,Chennai APMC,Haryana,3847.2
2023-01-03,Tomato,47.67,Coimbatore APMC,Punjab,4548.3
2023-01-03,Potato,22.41,Coimbatore APMC,Maharashtra,129.4
2023-01-03,Corn,25.74,Chennai APMC,Tamil Nadu,1718.7
2023-01-03,Wheat,33.73,Coimbatore APMC,Maharashtra,1141.8
2023-01-03,Rice,38.89,Koyambedu,Karnataka,3633.9
2023-01-03,Soybean,55.14,Chennai APMC,Haryana,2586.9
2023-01-03,Cotton,75.45,Mumbai APMC,Punjab,2832.2
2023-01-04,Tomato,49.97,Coimbatore APMC,Andhra Pradesh,4674.9
2023-01-04,Potato,23.41,Bengaluru APMC,Haryana,648.0
2023-01-04,Corn,25.17,Coimbatore APMC,Maharashtra,1815.1
2023-01-04,Wheat,32.49,Madurai,Tamil Nadu,2040.6
2023-01-04,Rice,40.47,Mumbai APMC,Tamil Nadu,1976.5
2023-01-04,Soybean,55.58,Hyderabad,Andhra Pradesh,376.8
2023-01-04,Cotton,73.87,Delhi Azadpur,Punjab,267.5
2023-01-05,Tomato,49.45,Coimbatore APMC,Haryana,1542.6
2023-01-05,Potato,22.91,Hyderabad,Maharashtra,3577.0
2023-01-05,Corn,26.45,Madurai,Uttar Pradesh,4797.2
2023-01-05,Wheat,36.13,Mumbai APMC,Haryana,3405.6
2023-01-05,Rice,40.33,Madurai,Punjab,917.9
2023-01-05,Soybean,55.77,Mumbai APMC,Gujarat,384.2
2023-01-05,Cotton,74.59,Chennai APMC,Gujarat,1942.7
2023-01-06,Tomato,48.57,Coimbatore APMC,Rajasthan,2958.0
2023-01-06,Potato,23.71,Chennai APMC,Andhra Pradesh,155.0
2023-01-06,Corn,24.46,Koyambedu,Uttar Pradesh,1220.2
2023-01-06,Wheat,31.41,Bengaluru APMC,Andhra Pradesh,3117.8
2023-01-06,Rice,40.69,Chennai APMC,Karnataka,1903.9
2023-01-06,Soybean,58.51,Delhi Azadpur,Andhra Pradesh,800.8
2023-01-06,Cotton,73.65,Coimbatore APMC,Tamil Nadu,1228.4
2023-01-07,Tomato,50.27,Hyderabad,Punjab,714.6
2023-01-07,Potato,22.99,Mumbai APMC,Tamil Nadu,2628.3
2023-01-07,Corn,25.22,Bengaluru APMC,Uttar Pradesh,3765.2
2023-01-07,Wheat,32.36,Coimbatore APMC,Punjab,1746.5
2023-01-07,Rice,39.75,Coimbatore APMC,Rajasthan,317.7
2023-01-07,Soybean,59.03,Coimbatore APMC,Andhra Pradesh,3059.9
2023-01-07,Cotton,73.96,Bengaluru APMC,Rajasthan,1642.1
2023-01-08,Tomato,47.84,Hyderabad,Tamil Nadu,369.9
2023-01-08,Potato,23.97,Hyderabad,Maharashtra,4770.6
2023-01-08,Corn,26.91,Chennai APMC,Karnataka,4694.5
